1,指标名称,指标类别,频率,单位,来源,国家,更新时间
G0003732,美国:耐用品除国防外:总存货量:季调,,月,百万美元,美国商务部,美国,2022-07-28
G0003736,美国:耐用品除国防外:新增订单:季调,,月,百万美元,美国商务部,美国,2022-07-28
G1120784,美国:现价:折年数:个人消费支出:非耐用品:季调,,月,十亿美元,美国经济分析局,美国,2022-07-29
G1120772,美国:现价:折年数:个人消费支出:耐用品:季调,,月,十亿美元,美国经济分析局,美国,2022-07-29
G0002434,美国:持续领取失业金人数:季调,,周,人,美国劳工部,美国,2022-08-12
G0002433,美国:当周初次申请失业金人数:季调,,周,人,美国劳工部,美国,2022-08-12
G1121997,美国:私人非农企业全部员工:平均每周工时:总计:季调,,月,小时,美国劳工部,美国,2022-08-05
G1168599,美国:亚特兰大联储薪资增长指数:12个月移动平均,,月,,亚特兰大联储,美国,2022-07-15
G0002466,美国:平均每周制造业工作时间:季调,,月,小时,美国劳工部,美国,2022-08-05
G1130938,美国:职位空缺数:非农:私人:总计:季调,,月,千人,美国劳工部,美国,2022-08-03
G1109369,美国:ADP就业人数:总数:季调,,月,千人,美国民间就业服务机构,美国,2022-06-03
G1137705,美国:新增非农就业人数:私人部门:初值,,月,千人,美国劳工部,美国,2022-08-05
G1137407,美国:失业率:男性:16岁及以上:季调,,月,%,美国劳工部,美国,2022-08-05
G1137400,美国:就业率:季调,,月,%,美国劳工部,美国,2022-08-05
G1137399,美国:劳动力参与率:季调,,月,%,美国劳工部,美国,2022-08-05
G1119587,美国:IPI:所有商品,,月,2000年=100,美国劳工部,美国,2022-08-12
G1138391,美国:PPI:最终需求:季调,,月,2009年11月=100,美国劳工部,美国,2022-08-11
G1163374,美国:PPI:按处理类型:原值:季调,,月,1982年=100,美国劳工部,美国,2022-08-12
G0000037,美国:核心CPI,,月,1982-84年=100,美国劳工部,美国,2022-08-10
G0000035,美国:CPI,,月,1982-84年=100,美国劳工部,美国,2022-08-10
P0197131,美国:核心PCE:当月环比,,月,%,美国经济分析局,美国,2022-07-29
G0003890,美国:个人消费支出物价指数:季调,,月,2005年=100,美国经济分析局,美国,2022-07-29
W8775807,美国:PCE:当月环比,,月,%,美国经济分析局,美国,2022-07-29
L3272290,美国:产能利用率:全部工业:季调,,月,%,美联储,美国,2022-07-16
G1120948,美国:工业生产指数:制造业(NAICS):季调,,月,2017年=100,美联储,美国,2022-07-16
G0000001,美国:GDP:不变价:折年数:季调,,季,十亿美元,美国经济分析局,美国,2022-07-28
G0000003,美国:GDP:现价:折年数:季调,,季,十亿美元,美国经济分析局,美国,2022-07-28
G0003873,美国:MBA再融资指数,,周,1990年3月16日=100,美国银行抵押贷款协会,美国,2022-08-10
G0003874,美国:MBA购买指数,,周,1990年3月16日=100,美国银行抵押贷款协会,美国,2022-08-10
G0003872,美国:MBA市场综合指数,,周,1990年3月16日=100,美国银行抵押贷款协会,美国,2022-08-10
G1120811,美国:个人总支出:个人利息支付:季调:折年数,,月,十亿美元,美国经济分析局,美国,2022-07-29
G1120808,美国:个人总收入:个人财产性收入:个人利息收入:季调:折年数,,月,十亿美元,美国经济分析局,美国,2022-07-29
G1145496,美国:抵押贷款组合:市场表现:贷款占比:逾期30-59天,,季,%,美国货币监理署,美国,2022-07-06
G1145485,美国:抵押贷款组合:市场总额,,季,百万美元,美国货币监理署,美国,2022-07-06
G0004041,韩国:出口总额,,月,千美元,韩国国际贸易协会,韩国,2022-08-16
G0004043,韩国:贸易差额,,月,千美元,韩国国际贸易协会,韩国,2022-08-16
S0059749,中债国债到期收益率:10年,,日,%,中债估值中心,中国,2022-08-11
M0330161,滚动市盈率(TTM):万得全A,,日,倍,Wind,中国,2022-08-17
G0011657,美国:标普500:市盈率,,日,倍,Wind,美国,2022-08-18
G0000891,美国:国债收益率:10年,,日,%,美联储,美国,2022-08-12
s1,期货收盘价(连续):COMEX黄金/现货结算价:LME铜,,日,,,,2022-08-12
s6,期货收盘价(连续):COMEX黄金/伦敦现货白银:以美元计价,,日,,,,2022-08-12
s4,期货收盘价(连续):COMEX黄金/期货结算价(连续):WTI原油,,日,,,美国,2022-08-12
S0029751,现货结算价:LME铜,,日,美元/吨,LME,英国,2022-08-12
S0031648,伦敦现货白银:以美元计价,,日,美元/盎司,根据新闻整理,英国,2022-08-12
M1016750,超额利差(中位数):全体产业债,,日,BP,兴业研究,中国,2022-08-10
M1016548,信用利差(中位数):产业债AA,,日,BP,兴业研究,中国,2022-08-10
M1016546,信用利差(中位数):产业债AAA,,日,BP,兴业研究,中国,2022-08-10
M1016545,信用利差(中位数):全体产业债,,日,BP,兴业研究,中国,2022-08-10
M1016710,信用利差(中位数):全体城投债,,日,BP,兴业研究,中国,2022-08-10
V8735313,美国:5年期盈亏平衡通胀率:非季调,,日,%,圣路易斯联储,美国,2022-08-12
U0929600,美国:10年期盈亏平衡通胀率:非季调,,日,%,圣路易斯联储,美国,2022-08-12
G0005428,美国:国债收益率:通胀指数国债(TIPS):10年,,日,%,美联储,美国,2022-08-12
G0005426,美国:国债收益率:通胀指数国债(TIPS):5年,,日,%,美联储,美国,2022-08-12
G0001699,美国:联邦基金利率(日),,日,%,美联储,美国,2022-08-12
G8455661,美国:10年国债-2年期国债,,日,%,美联储,美国,2022-08-12
G1147433,美国:LIBOR3个月-国债3个月收益率,,日,%,美国财政部,美国,2022-08-12
M0017142,SHIBOR:3个月,,日,%,全国银行间同业拆借中心,中国,2022-08-12
M0041653,银行间质押式回购加权利率:7天,,日,%,中国货币网,中国,2022-08-11
M1010885,中债商业银行同业存单到期收益率(AAA):1年,,日,%,中债估值中心,中国,2022-08-11
M0041371,逆回购利率:7天,,日,%,中国人民银行,中国,2022-08-12
G1139854,美国:企业债利差:美银美国BBB级企业债期权调整利差,,日,%,圣路易斯联储,美国,2022-08-12
G1139851,美国:企业债利差:美银美国AAA级企业债期权调整利差,,日,%,圣路易斯联储,美国,2022-08-12
G1139859,美国:企业债利差:美银美国高收益企业债期权调整利差,,日,%,圣路易斯联储,美国,2022-08-12
M0000199,美元兑日元,,日,,倚天财经,,2022-08-12
M0000200,欧元兑美元,,日,,倚天财经,,2022-08-12
M0000271,美元指数,,日,1973年3月=100,倚天财经,美国,2022-08-18
M0000203,美元兑加元,,日,,倚天财经,,2022-08-12
J8978896,期货收盘价(连续):CBOT30天期联邦基金,,日,点,CBOT,美国,2022-08-18
G0003892,美国:标准普尔500波动率指数(VIX),,日,,CBOE,美国,2022-08-12
M0330255,万得全A,,日,点,Wind,中国,2022-08-11
K0182681,上证50,,日,点,上海证券交易所,中国,2022-08-11
T1807286,中证500,,日,点,中证指数公司,中国,2022-08-11
M0340585,USDCNY:即期汇率,,日,,ICAP,中国,2022-08-11
M0051559,中债国债总指数,,日,点,中债估值中心,中国,2022-08-11
M0051566,中债企业债总指数,,日,点,中债估值中心,中国,2022-08-11
S0105896,南华综合指数,,日,点,南华期货,中国,2022-08-11
S0105899,南华金属指数,,日,点,南华期货,中国,2022-08-11
S0031645,伦敦现货黄金:以美元计价,,日,美元/盎司,根据新闻整理,英国,2022-08-11
M0000005,期货结算价(连续):WTI原油,,日,美元/桶,IPE,美国,2022-08-11
